GEOID,County name,Percent of population that is foreign-born,Percent of adults (25 or older) who are not high-school graduates,Percent of population with income below 150 percent of poverty level,Percent of households receiving public assistance income,Percent of persons (ages 16 or older) unemployed,Percent limited-English households,Percent of persons who moved from outside county in past year,Total population,Hispanic_Latino,White,Black or African American,AIAN,Asian,NHPI,Some other race,Two or more races,Tract name,Incorporated (%),Unincorporated (%),Size (sq. mi.),Pop density,AD_overlapped,SD_overlapped,CD_overlapped,Census 2020 Region
06029002002,Kern,17.8,38.4,71.6,14.5,18,11.7,4.5,3706,54.6,11.5,28.6,0.5,2.9,0.4,0,1.5,Census Tract 20.02,Bakersfield (100.0),0,0.4,9979.6,AD-32,SD-16,CD-23,6
06029002100,Kern,32.4,47.2,51,12.1,10.4,19.9,0.5,3489,81.4,11.6,5.3,0,0.3,0,0,1.4,Census Tract 21,Bakersfield (100.0),0,0.6,6310.8,AD-32,SD-14,CD-21,6
06029002201,Kern,48.1,47.1,47.2,5.6,11.4,42,0.4,2730,86.6,10.6,2.4,0,0,0,0,0.4,Census Tract 22.01,Bakersfield (100.0),0,0.3,9006.1,AD-32,SD-14,CD-21,6
06029002202,Kern,24.1,63.4,62,23.7,23.2,21.3,3.5,3196,67.3,1.3,26.4,0,1.6,1.7,0,1.7,Census Tract 22.02,Bakersfield (100.0),0,0.4,8532.7,AD-32,SD-14,CD-21,6
06029002302,Kern,22.3,49.1,54,19.8,20.4,14.1,2.2,4275,95.2,4.4,0,0,0.1,0.3,0,0,Census Tract 23.02,none,100,0.9,3437.7,AD-32,SD-14,CD-21,6
06029002303,Kern,30.2,49.8,39.4,1.5,5.5,2.9,0.2,3614,88.2,10,0.2,0,0,0,1.5,0,Census Tract 23.03,Bakersfield (48.5),51.5,1.4,2542.2,AD-32,SD-14,CD-21,6
06029002304,Kern,30.7,36.6,46.7,11.3,12.7,16.4,0.9,4347,88.7,0.6,6.3,0,4.4,0,0,0,Census Tract 23.04,Bakersfield (5.3),94.7,0.5,6010.8,AD-32,SD-14,CD-21,6
06029002305,Kern,32.9,60.4,35.8,0,5.9,18.1,1.4,2093,87.1,9.7,0,0,1.3,0,0,2,Census Tract 23.05,Bakersfield (0.1),99.9,0.6,4470.7,AD-32,SD-14,CD-21,6
06029002401,Kern,35.2,42.8,25.3,9.5,9.3,10.8,0,1933,76.1,21.5,0.1,2.4,0,0,0,0,Census Tract 24.01,none,100,3.9,590.3,AD-32,SD-14,CD-21,6
06029002402,Kern,44,32.8,36.7,0,9.7,8.3,3.7,4585,86.6,10.2,1.6,0,0.4,0,0,1.1,Census Tract 24.02,Bakersfield (100.0),0,0.4,8943,AD-32,SD-14,CD-21,6
06029002403,Kern,18.4,47.3,64.2,0,16.9,19.9,3.8,2034,77.9,17.5,4.6,0,0,0,0,0,Census Tract 24.03,Bakersfield (21.1),78.9,11.2,278.8,AD-32,SD-14,CD-21,6
06029002501,Kern,23.5,33.5,60.7,7.6,19.9,11.4,4.9,4186,70.4,8.1,19.6,0,0.2,0,0,1.6,Census Tract 25.01,Bakersfield (18.3),81.7,1,4819,AD-32,SD-14,CD-21,6
06029002502,Kern,41.9,72.3,53.7,8.3,10.5,47.4,3.4,2088,96.6,2.4,0,0,1.1,0,0,0,Census Tract 25.02,Bakersfield (100.0),0,0.2,10691.8,AD-32,SD-14,CD-21,6
06029002503,Kern,35.9,44.7,52.4,8,14.7,15.6,13.3,2732,80.3,0,19.7,0,0,0,0,0,Census Tract 25.03,Bakersfield (100.0),0,1,2742.7,AD-32,SD-14,CD-21,6
06029002600,Kern,19.4,33,49,6.8,12.9,10.1,2.8,3510,64,10.7,22.1,0,1.6,0,0.6,1.1,Census Tract 26,Bakersfield (89.0),11,0.9,3932.6,AD-32,SD-14,CD-21,6
06029002701,Kern,29.2,36.3,46.2,4,10.2,17.7,0.8,2766,86,11,1.4,0,1.6,0,0,0,Census Tract 27.01,Bakersfield (7.8),92.2,0.5,5545.7,AD-34,SD-16,CD-23,6
06029002702,Kern,25.2,38.1,41.1,11,10.4,13.8,8.7,3065,64.1,15.7,18.2,0.3,1.7,0,0,0,Census Tract 27.02,Bakersfield (15.8),84.2,0.5,6589.2,AD-34,SD-16,"CD-21, CD-23",6
06029002804,Kern,8.1,7.3,18.2,0.6,1.7,3.2,3.6,2268,22.1,69.7,0.8,0,1.4,0,0,6,Census Tract 28.04,Bakersfield (100.0),0,0.9,2996.8,AD-34,SD-16,CD-23,6
06029002806,Kern,20.8,1.3,30.2,0.4,7.5,1.1,16.6,2308,24.7,40.8,6.5,0,23.4,0,0,4.7,Census Tract 28.06,Bakersfield (100.0),0,1.8,1306.5,AD-34,SD-16,CD-23,6
06029002807,Kern,10.2,1.7,13,0,4.3,0,6.4,3486,14.4,80,2.9,0,2.4,0,0,0.3,Census Tract 28.07,Bakersfield (83.0),17,1.2,3319.2,AD-34,SD-16,CD-23,6
06029002811,Kern,23.9,6.6,3.3,2.4,5.6,4.9,6.9,3274,17.2,57.2,0,0,23.6,0,0.5,1.5,Census Tract 28.11,Bakersfield (100.0),0,1.5,2660.2,AD-34,SD-16,CD-23,6
06029002813,Kern,15.4,18.1,45.3,9,14.9,5.5,3,4020,59,25,11.1,0,2.9,0,0.8,1.2,Census Tract 28.13,Bakersfield (77.7),22.3,0.6,7454.4,AD-34,SD-16,CD-23,6
06029002814,Kern,14.5,21.8,37.8,2.4,4.5,2.7,6.8,4115,55.9,27.1,11.4,0,3.5,0,0,2,Census Tract 28.14,Bakersfield (100.0),0,0.6,8166.4,AD-34,SD-16,CD-23,6
06029002815,Kern,16.7,14.5,41.6,6.1,7.8,7.3,2.7,4231,50.9,25.6,18.8,0,2.5,0,0,2.2,Census Tract 28.15,Bakersfield (100.0),0,0.5,8694.5,AD-34,SD-16,CD-23,6
06029002816,Kern,19.3,25,40.7,6.6,10,3.2,7.4,6580,66.5,22.8,4,0,2.9,0,0.2,3.7,Census Tract 28.16,Bakersfield (100.0),0,0.6,8903.7,AD-34,SD-16,CD-23,6
06029002817,Kern,13.4,21.6,41.7,9.8,8.2,2.2,5.5,5056,58.2,21.1,14.9,0.1,2.7,0,0,3,Census Tract 28.17,Bakersfield (100.0),0,0.6,9249.8,AD-34,SD-16,CD-23,6
06029002818,Kern,9.3,14,36.5,6.9,4.2,2.7,5,4658,48.4,36.9,9.6,0,0.8,0.1,0,4.1,Census Tract 28.18,Bakersfield (100.0),0,0.7,5978.9,AD-34,SD-16,CD-23,6
06029002819,Kern,11.4,10.1,15.1,1.5,6.2,3.4,8.7,4339,44.9,35.6,10.9,0,6.5,0,0,2,Census Tract 28.19,Bakersfield (100.0),0,0.6,7646.2,AD-34,SD-16,CD-23,6
06029002820,Kern,17.4,12.8,4.3,1.5,4.9,1.6,0.9,6504,39.6,32.8,12.3,0.7,11.2,0.4,0.6,2.5,Census Tract 28.20,Bakersfield (100.0),0,1,6458,AD-34,SD-16,CD-23,6
06029002821,Kern,9.7,3.8,10.9,4.3,3.9,2.1,1.6,4756,39.3,42.8,10.2,0.2,6,0,0,1.6,Census Tract 28.21,Bakersfield (100.0),0,0.7,6803.6,AD-34,SD-16,CD-23,6
06029002822,Kern,10.6,3.3,3.3,2.9,6.3,1.8,0.8,3111,18.9,58.1,4.7,1.8,11.5,0,0.5,4.5,Census Tract 28.22,Bakersfield (100.0),0,0.9,3919.9,AD-34,SD-16,CD-23,6
06029002823,Kern,8.3,11.8,41.2,3.7,5.9,0.2,2.5,4606,43.2,45.2,0.5,0.4,1.7,0,0,8.9,Census Tract 28.23,Bakersfield (100.0),0,0.5,8001.3,AD-34,SD-16,CD-23,6
06029002824,Kern,15.2,8,44.1,5.4,7.7,6.2,4.2,1921,33.8,38.6,12.4,0.3,2.1,0,0,12.8,Census Tract 28.24,Bakersfield (100.0),0,0.2,18785.6,AD-34,SD-16,CD-23,6
06029002825,Kern,4.1,17.9,47.8,15.4,5.2,0,5.7,2706,45.4,43.3,6.4,0.8,0.9,0,0.8,2.4,Census Tract 28.25,Bakersfield (0.9),99.1,0.5,5555.7,AD-34,SD-16,CD-23,6
06029002901,Kern,34.6,27.2,38.7,5,6.7,33.6,0.7,3063,86,11.8,0.2,0,1.6,0,0,0.5,Census Tract 29.01,Bakersfield (100.0),0,0.5,5854.4,AD-34,SD-16,CD-21,6
06029002902,Kern,16.1,29.7,43,7.2,11,13,12.1,4054,65.9,20.9,6.8,0,6.2,0,0,0.2,Census Tract 29.02,Bakersfield (100.0),0,0.5,8711,AD-34,SD-16,CD-21,6
06029003001,Kern,36.2,40.9,39.9,3.5,9.2,8.5,1.1,3928,80.7,10.4,4,0,1.2,0,0,3.6,Census Tract 30.01,Bakersfield (94.6),5.4,0.5,8056.3,AD-32,SD-14,CD-21,6
06029003002,Kern,39.2,59,61.9,3,5.1,30.8,3,3902,90,6.8,0.7,0,0.9,0.3,0.3,1.1,Census Tract 30.02,Bakersfield (1.8),98.2,0.5,6409.1,AD-32,SD-14,CD-21,6
06029003103,Kern,33.7,40.7,50.4,7.1,12.8,18.1,2.4,3690,83.5,15.1,0.5,0.7,0,0,0,0.2,Census Tract 31.03,Bakersfield (29.5),70.5,1.9,2579.6,AD-32,SD-14,CD-21,6
06029003112,Kern,28.2,18.5,26.2,4.2,6.4,12.1,4.8,5745,53.5,25.4,7.7,0.5,8.8,0,1,3.1,Census Tract 31.12,Bakersfield (100.0),0,1.2,4646.4,AD-34,SD-16,CD-23,6
06029003113,Kern,22.5,26.7,36.2,5.6,12.5,5.4,4.9,4951,65.8,15.7,12.7,0,4.2,0.3,0,1.2,Census Tract 31.13,Bakersfield (100.0),0,0.9,5714.5,AD-34,SD-16,CD-21,6
06029003124,Kern,18.2,19.8,16.3,4.9,7.4,5.6,4.6,5981,51.7,35.4,8.4,0,4.4,0,0,0,Census Tract 31.24,Bakersfield (100.0),0,1.5,3782.7,AD-34,SD-16,CD-23,6
06029003125,Kern,29,17.7,34.2,5.9,5.7,10.1,3.2,3036,65.2,18.6,6.6,0,6.6,0,3,0,Census Tract 31.25,Bakersfield (94.4),5.6,0.5,6212.9,AD-32,SD-14,CD-21,6
06029003126,Kern,28.3,43.6,40.2,10.3,9.3,7.9,0.2,5353,79.3,4.6,13.7,1.8,0.5,0,0,0.1,Census Tract 31.26,Bakersfield (84.8),15.2,0.5,10576.1,AD-32,SD-14,CD-21,6
06029003127,Kern,28.7,36.7,55.9,4.1,4.9,16.7,0,4296,82.7,13.8,1.3,0.2,0,0,0,2,Census Tract 31.27,Bakersfield (100.0),0,0.5,9360.2,AD-32,SD-14,CD-21,6
06029003128,Kern,32.3,35.9,30,2.6,7.6,12.4,0,3983,87.4,3.3,5.4,0.3,1.3,0,0,2.2,Census Tract 31.28,Bakersfield (100.0),0,0.5,9230.4,AD-32,SD-14,CD-21,6
06029003129,Kern,14.2,8.9,43.5,5.4,0.4,5.6,2.1,3666,53.9,24.9,10.5,1.4,5.3,0,1.3,2.8,Census Tract 31.29,Bakersfield (100.0),0,1,3743.7,AD-34,SD-16,CD-23,6
06029003130,Kern,15.8,14.6,20.3,0,13.9,2.2,0,4601,66.1,19.9,8.2,0,3.3,0,0,2.6,Census Tract 31.30,Bakersfield (100.0),0,0.5,7795.9,AD-34,SD-16,CD-23,6
06029003131,Kern,17.7,16,16.6,3.8,8.5,1.4,4,2919,48.3,42,0.4,0,6.7,0,0,2.5,Census Tract 31.31,Bakersfield (100.0),0,1,3780.7,AD-34,SD-16,CD-23,6
06029003132,Kern,29.5,26.5,44.7,1.6,16.1,10.1,4.8,4786,68.1,18.9,5.4,0,6.5,0,1,0,Census Tract 31.32,Bakersfield (95.9),4.1,0.5,9141.4,AD-34,SD-16,CD-23,6
06029003133,Kern,14.2,16.8,33.3,7.1,9.5,7.7,0,2260,28.1,55.1,13.9,0,0,0,0,2.9,Census Tract 31.33,Bakersfield (92.2),7.8,0.8,3733.8,AD-34,SD-16,CD-23,6
06029003134,Kern,23.9,30.9,20,0,4.6,7.1,3.1,2899,43.3,19.8,1.1,0,28.9,0,0,6.9,Census Tract 31.34,Bakersfield (100.0),0,0.5,7340,AD-34,SD-16,CD-23,6
06029003135,Kern,29.7,17.8,15.3,4.9,2,19.1,1.4,4799,44.9,25.6,4.7,0,22.8,0,0,2,Census Tract 31.35,Bakersfield (100.0),0,0.5,7633,AD-34,SD-16,CD-23,6
06029003136,Kern,18.5,24.9,20.7,0.9,9.3,4.8,0.5,1592,56,32.7,6.2,0.5,1.5,0.6,0,2.5,Census Tract 31.36,Bakersfield (100.0),0,0.2,8821.8,AD-34,SD-16,CD-21,6
06029003137,Kern,39.4,48.9,42.8,1.5,7.2,19.3,0.3,2893,83.8,4.9,7,0,1.8,0,2.5,0,Census Tract 31.37,Bakersfield (100.0),0,0.4,8405,AD-34,SD-16,CD-21,6
06029003203,Kern,12.1,6.9,13.5,1.7,13,0,2.8,2042,23.4,67.3,0,3.3,6.1,0,0,0,Census Tract 32.03,Bakersfield (100.0),0,0.7,3498.2,AD-34,SD-16,CD-23,6
06029003207,Kern,31.4,33.4,50.5,10.5,9.9,7,1.5,4878,65.7,12.3,6.1,0,15.5,0.3,0,0,Census Tract 32.07,Bakersfield (100.0),0,1,5174.8,AD-32,SD-14,CD-21,6
06029003208,Kern,28.6,31.2,37,3.8,5.6,7.1,1.8,6916,75.2,8.1,8.1,0.3,4.3,0,0,4,Census Tract 32.08,Bakersfield (99.9),0.1,1.5,5229,AD-32,"SD-14, SD-16",CD-21,6
06029003209,Kern,18.3,16,27.4,6.4,4.6,2,8,4481,66.1,17.7,3.4,0.4,8.5,0,0,3.9,Census Tract 32.09,Bakersfield (100.0),0,0.5,7376.4,AD-34,SD-16,CD-23,6
06029003210,Kern,17.8,21.5,6.3,1.8,4.9,0,4.3,5147,53.6,23.6,8.2,0.2,13.5,0,0,0.9,Census Tract 32.10,Bakersfield (100.0),0,1,5922.8,AD-34,SD-16,CD-23,6
06029003211,Kern,20.7,21.6,16.3,4.2,2.4,17.5,0.8,4836,44.7,20.3,17.3,0,16.8,0,0,0.8,Census Tract 32.11,Bakersfield (92.2),7.8,0.8,5723.1,AD-34,SD-16,CD-23,6
06029003212,Kern,32.7,4.2,3.6,0,0.8,2,4.3,5521,13.3,40.2,3.7,0.2,40.5,0,0,2.1,Census Tract 32.12,Bakersfield (100.0),0,1.7,3985.6,AD-34,SD-16,CD-23,6
06029003213,Kern,17.5,3.6,4.9,0,0,3.6,0,1134,22.9,54.3,0,0,22.8,0,0,0,Census Tract 32.13,Bakersfield (100.0),0,10.3,199.7,AD-34,SD-16,CD-23,6
06029003214,Kern,18.5,25.8,52.2,5.1,5.7,0,0,1748,64.9,29.3,5.8,0,0,0,0,0,Census Tract 32.14,Bakersfield (46.0),54,0.6,3882.4,"AD-32, AD-34","SD-14, SD-16",CD-21,6
06029003215,Kern,22.5,36.4,31.1,2.1,10.9,3.5,2.8,4240,69.2,18.9,12,0,0,0,0,0,Census Tract 32.15,Bakersfield (36.9),63.1,4.6,803.8,"AD-32, AD-34","SD-14, SD-16","CD-21, CD-23",6
06029003216,Kern,38.6,32.3,18.6,3.1,9.3,3.9,5.4,3958,63.6,9,3,0,24.3,0,0,0.1,Census Tract 32.16,Bakersfield (100.0),0,0.6,5507.5,AD-34,SD-16,CD-23,6
06029003217,Kern,27.8,12.1,7.4,5.8,12.3,15.8,2.1,3403,66.8,14.2,4.3,0,4.1,0,0,10.6,Census Tract 32.17,Bakersfield (100.0),0,0.5,6305.3,AD-34,SD-16,CD-23,6
06029003218,Kern,45,12.1,15.8,0,2.3,11.1,5.8,4997,37.4,35.3,1.2,0,26.1,0,0,0,Census Tract 32.18,Bakersfield (100.0),0,1,6293.4,AD-34,SD-16,CD-23,6
06029003219,Kern,21,18.1,5,0,0.9,1.3,1.3,5465,56.6,19,5.2,0,14.4,0,1,3.8,Census Tract 32.19,Bakersfield (99.9),0.1,1,6668.3,AD-34,SD-16,CD-23,6
06029003220,Kern,8.8,10.7,32.7,12.8,5.5,1.6,1.2,3354,48.6,21.9,0.6,0,21.1,4.3,0,3.5,Census Tract 32.20,Bakersfield (87.0),13,15.6,307.1,AD-34,SD-16,CD-23,6
06029003221,Kern,24,4.7,11.3,1.8,4.1,5.6,10,2344,35.2,24.7,4.3,0,25.4,0,0,10.4,Census Tract 32.21,Bakersfield (100.0),0,29,159.8,"AD-32, AD-34","SD-14, SD-16","CD-21, CD-23",6
06029003222,Kern,13.8,23,20.3,0,18.1,5.5,2.8,1990,47.3,43.8,8.9,0,0,0,0,0,Census Tract 32.22,none,100,106.4,15.9,"AD-32, AD-34","SD-14, SD-16","CD-21, CD-23",6
06029003303,Kern,9.5,26.6,44.3,5.6,10.4,6.1,8.8,2447,36.5,56.9,0,1.1,0.6,0,0,4.9,Census Tract 33.03,"Maricopa (81.4), Taft (1.5)",17.1,92.5,13.6,AD-34,SD-16,CD-23,6
06029003304,Kern,24.1,27,30.3,9,11.3,7.4,4.7,2871,40,52.9,2.6,0.2,2.3,0,0,1.9,Census Tract 33.04,Taft (0.6),99.4,618,6,"AD-32, AD-34","SD-14, SD-16",CD-23,6
06029003305,Kern,4.5,12.3,33.8,9.3,8.7,0,0,3854,16.4,80.3,0,0,0.9,0,0.3,2.2,Census Tract 33.05,none,100,15.5,217.3,AD-34,SD-16,CD-23,6
06029003307,Kern,12.4,10.2,18.3,3.2,8.2,2.8,5.8,2131,10.6,68.1,0,2.7,14.3,0,0,4.3,Census Tract 33.07,none,100,387.7,6.7,"AD-32, AD-34",SD-16,CD-23,6
06029003308,Kern,11.1,17.9,38.8,5.6,15.7,0,4.4,2540,28.6,64.7,0,2.7,4,0,0,0,Census Tract 33.08,none,100,29.5,71.2,AD-34,SD-16,CD-23,6
06029003400,Kern,32.6,39.9,60,8.2,15.9,23.3,3.8,4919,60.1,35.2,0,0.6,2.1,0.3,0,1.7,Census Tract 34,Taft (0.1),99.9,3.6,1220.6,AD-34,SD-16,CD-23,6
06029003500,Kern,6.6,15,31.8,2.2,5.8,3.6,3.6,8222,30.1,59.3,1.6,0,3.1,0.1,0,5.8,Census Tract 35,Taft (98.3),1.7,2.3,2920.9,AD-34,SD-16,CD-23,6
06029003600,Kern,13.9,29.5,45.2,6.3,17.9,8.2,0.8,3847,42.8,55.3,0,0.5,0,0,0.2,1.2,Census Tract 36,Taft (9.8),90.2,2.1,2159.6,AD-34,SD-16,CD-23,6
06029003806,Kern,18.9,5.1,11.7,0.5,2.7,2.4,6.7,5075,30.5,48,3.7,0.1,15.4,0,0,2.3,Census Tract 38.06,Bakersfield (99.6),0.4,1.4,3740.2,AD-34,SD-16,CD-23,6
06029003807,Kern,1.4,3.4,8.6,2.2,7.1,2.7,2.5,3619,28.7,68.8,0.2,0.3,0.5,0,0,1.4,Census Tract 38.07,Bakersfield (27.3),72.7,1,3540.1,AD-34,SD-16,CD-23,6
06029003808,Kern,9.5,8,13,3.4,5.8,3.9,2,4672,32.5,38.1,6.4,0,5.9,0,0,17.1,Census Tract 38.08,Bakersfield (100.0),0,1.1,4118.7,AD-34,SD-16,CD-23,6
06029003810,Kern,9.7,6.2,7.4,2.4,5.3,0.6,3.4,2541,17.7,70.9,3.2,0,4.7,0,0,3.5,Census Tract 38.10,Bakersfield (35.1),64.9,1,2530.1,AD-34,SD-16,CD-23,6
06029003811,Kern,10.4,11.3,18.4,1.2,4.3,1.9,2.4,2375,25.2,64.2,1.6,2.6,4,0.2,0.2,2,Census Tract 38.11,Bakersfield (23.4),76.6,1,2693.7,AD-34,SD-16,CD-23,6
06029003812,Kern,17,5.6,10.4,1.4,6.8,2,4,4595,33.3,52.5,0.8,0,10,1.4,0,1.9,Census Tract 38.12,Bakersfield (90.4),9.6,1.8,2770.2,AD-34,SD-16,CD-23,6
06029003814,Kern,6.2,4.1,6.6,0,10,0.2,1.1,7223,30.3,63,0.9,0,3.7,0,0,2.1,Census Tract 38.14,Bakersfield (98.0),2,2.6,2374.3,AD-34,SD-16,CD-23,6
06029003815,Kern,13.7,12.5,9.9,5.6,4.5,7.5,2.4,6019,37.1,47.2,4.7,0,9.4,0,0,1.6,Census Tract 38.15,Bakersfield (99.7),0.3,1,6294.8,AD-34,SD-16,CD-23,6
06029003816,Kern,8.9,8.6,22.1,0,10.8,2.6,5.5,3791,47.4,42.8,0.9,0,0,0,0,8.9,Census Tract 38.16,Bakersfield (51.8),48.2,1,3415.7,AD-34,SD-16,CD-23,6
06029003817,Kern,4.8,1.3,10,1.2,3,0.3,0.7,3545,33.1,60.1,1.8,0,2.3,0,0,2.8,Census Tract 38.17,Bakersfield (100.0),0,0.8,5246,AD-34,SD-16,CD-23,6
06029003818,Kern,6.4,1.5,9.1,0,10.6,0,1.1,5633,26.6,57.7,5.9,0,8.1,0,0,1.7,Census Tract 38.18,Bakersfield (100.0),0,0.8,6259.2,AD-34,SD-16,CD-23,6
06029003819,Kern,24.7,10.2,22.9,0,6.3,7.7,5.8,5127,17.7,61,0.6,0.3,18.8,0.7,0,0.8,Census Tract 38.19,Bakersfield (49.1),50.9,1,3832.7,AD-34,SD-16,CD-23,6
06029003820,Kern,5.9,14.3,7.8,0,10.9,0,4.5,2775,43.2,52.8,0.2,0.2,2.4,0,0,1.2,Census Tract 38.20,Bakersfield (93.6),6.4,1.3,2952.8,AD-34,SD-16,CD-23,6
06029003821,Kern,10.9,7.3,6.7,1.5,11.5,0,4.1,4509,28,51.9,3.7,3.9,8.6,1.2,0,2.6,Census Tract 38.21,Bakersfield (90.5),9.5,1.5,3056.1,AD-34,SD-16,CD-23,6
06029003822,Kern,7.4,5,10.1,2.6,0,0,4.1,2515,30.9,62.6,3.7,0,1.7,0,0,1.2,Census Tract 38.22,Bakersfield (36.5),63.5,1.5,2131.4,AD-34,SD-16,CD-23,6
06029003823,Kern,1.9,15.8,5.5,0,4.8,0.1,0.5,4209,18.7,62.3,4.7,3.7,1.4,0.6,0,8.6,Census Tract 38.23,none,100,8.6,488.7,AD-34,SD-16,CD-23,6
06029003824,Kern,11.2,11,9,3.5,6,0.3,3.3,2739,41.6,55.3,0,0,1.4,0,0,1.7,Census Tract 38.24,Bakersfield (24.9),75.1,1,2272.8,AD-34,SD-16,CD-23,6
06029003825,Kern,14.8,2.3,8.9,1.4,4.6,0,3.6,2386,27.5,58.6,5.8,0.2,4.8,1.7,0,1.5,Census Tract 38.25,Bakersfield (100.0),0,0.7,4361.2,AD-34,SD-16,CD-23,6
06029003826,Kern,3.1,7.6,2.7,0,4.8,0,0,2342,15.6,73.3,4.3,4.1,0.8,0,0,1.9,Census Tract 38.26,Bakersfield (1.3),98.7,5.2,645.4,AD-34,SD-16,CD-23,6
06029003827,Kern,12.7,8.2,4.2,0,2.9,0,4,2395,17,66.8,4.3,0,1.1,0,2.7,8.2,Census Tract 38.27,none,100,16.9,144.7,AD-34,SD-16,CD-23,6
06029003900,Kern,12.7,32,31.5,0.6,3.1,15.3,8.4,2717,47.9,38.5,9.2,0.4,1.4,0,0,2.5,Census Tract 39,Shafter (79.7),20.3,84.9,43.6,AD-32,"SD-14, SD-16",CD-21,6
06029004001,Kern,24.9,39.9,25.4,4.6,11.4,30.1,7.7,4704,84.5,10.7,3.6,0.1,0.6,0,0,0.5,Census Tract 40.01,Shafter (63.9),36.1,11.9,337.3,AD-32,SD-14,CD-21,6
06029004002,Kern,31.2,38.6,34,2.7,9.4,19.1,0.7,4346,87,9.7,2.6,0,0,0,0,0.7,Census Tract 40.02,Shafter (99.2),0.8,1,4541.7,AD-32,SD-14,CD-21,6
06029004101,Kern,23.3,36.5,33.7,4.4,9.6,19.3,1.2,5814,78.1,21.2,0,0.3,0.2,0,0,0.2,Census Tract 41.01,Shafter (100.0),0,1.2,4572.8,AD-32,SD-14,CD-21,6
06029004102,Kern,32.6,54.6,58.5,11.6,8.6,25.3,1.8,5189,93.6,5.8,0,0,0.6,0,0,0,Census Tract 41.02,Shafter (100.0),0,0.8,6941.6,AD-32,SD-14,CD-21,6
06029004302,Kern,9.4,39.9,,,,,59.4,5568,56,14.6,21.3,1.2,1.3,0.5,0.1,4.9,Census Tract 43.02,Wasco (100.0),0,1.5,2896,AD-32,SD-14,CD-21,6
06029004303,Kern,36.8,45.7,47.5,7.6,12.1,44.9,0.5,5022,92.3,4.5,0.5,0,2.7,0,0,0,Census Tract 43.03,Wasco (100.0),0,0.5,11371,AD-32,SD-14,CD-21,6
06029004304,Kern,41,49.3,23.2,0,2.8,37.8,1.3,2523,88.7,11.3,0,0,0,0,0,0,Census Tract 43.04,Wasco (99.9),0.1,1.5,2111.4,AD-32,SD-14,CD-21,6
06029004305,Kern,37.6,27.4,30.1,0,16.5,9.7,0,1885,89.1,9.5,0,0,1.4,0,0,0,Census Tract 43.05,Wasco (69.7),30.3,35,47.6,AD-32,"SD-14, SD-16",CD-21,6
06029004402,Kern,32.5,40.7,68.8,6.5,9.6,33.8,3.1,5209,94.4,1.7,2.6,1,0,0,0,0.2,Census Tract 44.02,Wasco (100.0),0,0.7,5590.2,AD-32,SD-14,CD-21,6
06029004403,Kern,23.7,36.9,31.5,5.7,4.6,17.2,0.7,2932,87.3,10.4,1,0,0,0,0,1.3,Census Tract 44.03,Wasco (100.0),0,0.6,6031.8,AD-32,SD-14,CD-21,6
06029004404,Kern,38.1,33.7,40,0,11.5,31.6,0.9,4472,88,5.9,4.2,0,0,0,0,1.9,Census Tract 44.04,Wasco (100.0),0,0.6,7701,AD-32,SD-14,CD-21,6
06029004500,Kern,42.4,54.3,50.5,2.3,9.6,58,1.9,2695,92.7,6.3,0,0.2,0.7,0,0,0,Census Tract 45,Wasco (7.7),92.3,901.1,4,AD-32,SD-14,CD-21,6
06029004601,Kern,10.3,43.2,,,,,60.4,3453,50.2,14.5,25,1.1,2.8,1.1,0,5.2,Census Tract 46.01,Delano (100.0),0,1,4917.4,AD-32,SD-14,CD-21,6
06029004603,Kern,14.9,44.3,,,,,34.1,2878,57.5,13,22.2,0.6,1.5,0.8,0.4,4,Census Tract 46.03,none,0,0.8,3283.5,AD-32,SD-14,CD-21,6
06029004605,Kern,47.3,27,18.3,1.8,10.3,19.3,0.2,3553,67.2,16,0.1,0,16.6,0,0,0.1,Census Tract 46.05,Delano (69.7),30.3,185,18,AD-32,SD-14,CD-21,6
06029004606,Kern,33.6,44.3,35.6,2.4,11.7,35.4,19.7,4261,64.2,8.6,9.9,1.1,13.7,0,0,2.5,Census Tract 46.06,Delano (64.4),35.6,17.8,146,AD-32,SD-14,CD-21,6
06029004607,Kern,37,46.9,30.4,10.3,17.4,10.9,0,6317,93.9,0,0,0,6.1,0,0,0,Census Tract 46.07,Delano (84.7),15.3,6.1,940.2,AD-32,SD-14,CD-21,6
06029004702,Kern,37.2,52.5,55.1,3.8,12,40.6,0,3267,96.3,3.6,0,0,0.1,0,0,0,Census Tract 47.02,McFarland (98.4),1.6,2.5,1527.5,AD-32,SD-14,CD-21,6
06029004703,Kern,30.7,37.9,57.6,0,20.3,23.6,6.8,5127,92.6,3.3,2.6,0.2,0.4,0,0,0.9,Census Tract 47.03,McFarland (97.7),2.3,1.9,2444.8,AD-32,SD-14,CD-21,6
06029004704,Kern,34.3,46,54.9,5.3,11.8,32,0.9,5391,88.8,10.5,0.2,0,0,0,0,0.5,Census Tract 47.04,McFarland (99.4),0.6,1.7,3473.9,AD-32,SD-14,CD-21,6
06029004801,Kern,35.7,52.8,49.6,2.5,8.8,32.4,3.8,3857,91.8,0.4,0,1.3,6.5,0,0,0,Census Tract 48.01,Delano (100.0),0,0.7,5971.4,AD-32,SD-14,CD-21,6
06029004802,Kern,36.9,50.8,62.5,3.8,18.7,35.2,1.4,5762,95.5,2.3,0.2,0,1.8,0,0,0.1,Census Tract 48.02,Delano (100.0),0,1.1,5447.3,AD-32,SD-14,CD-21,6
