"","ori","agency_name","agency_type_name","state_name","state_abbr","division_name","region_name","region_desc","county_name","nibrs","latitude","longitude","nibrs_start_date"
"3224","GA1270000","Stephens County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","STEPHENS","FALSE","34.552914","-83.290216","NULL"
"3225","GA1270100","Toccoa Police Department","City","Georgia","GA","South Atlantic","South","Region III","STEPHENS","FALSE","34.552914","-83.290216","NULL"
"3226","GA1280000","Stewart County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","STEWART","FALSE","32.073225","-84.834912","NULL"
"3227","GA1280100","Lumpkin Police Department","City","Georgia","GA","South Atlantic","South","Region III","STEWART","FALSE","32.073225","-84.834912","NULL"
"3228","GA1280200","Richland Police Department","City","Georgia","GA","South Atlantic","South","Region III","STEWART","FALSE","32.073225","-84.834912","NULL"
"3229","GA1290000","Sumter County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","SUMTER","FALSE","32.042197","-84.204259","NULL"
"3230","GA1290100","Americus Police Department","City","Georgia","GA","South Atlantic","South","Region III","SUMTER","FALSE","32.042197","-84.204259","08/01/2019"
"3231","GA1290200","Leslie Police Department","City","Georgia","GA","South Atlantic","South","Region III","SUMTER","FALSE","32.042197","-84.204259","NULL"
"3232","GA1290300","Plains Police Department","City","Georgia","GA","South Atlantic","South","Region III","SUMTER","FALSE","32.042197","-84.204259","NULL"
"3233","GA1290400","Georgia Southwestern State University","University or College","Georgia","GA","South Atlantic","South","Region III","SUMTER","FALSE","32.042197","-84.204259","12/01/2018"
"3234","GA1300000","Talbot County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TALBOT","FALSE","32.704603","-84.530029","04/01/2019"
"3235","GA1300100","Talbotton Police Department","City","Georgia","GA","South Atlantic","South","Region III","TALBOT","FALSE","32.704603","-84.530029","NULL"
"3236","GA1300200","Woodland Police Department","City","Georgia","GA","South Atlantic","South","Region III","TALBOT","FALSE","32.704603","-84.530029","NULL"
