State,City,Population,"Violent
crime","Property
crime"
CA,Auburn,13779,49,302
CA,Avalon,3777,4,88
CA,Avenal,14712,62,147
CA,Azusa,47754,246,1098
CA,Bakersfield,361859,1857,16814
CA,Baldwin Park,76745,220,1370
CA,Banning,30503,129,808
CA,Barstow,23144,229,785
CA,Bear Valley,5328,12,111
CA,Beaumont,40208,85,1298
CA,Bell,35928,208,535
CA,Bellflower,77594,279,1882
CA,Bell Gardens,42980,120,763
CA,Belmont,26697,27,437
CA,Belvedere,2120,0,26
CA,Benicia,27558,30,383
CA,Berkeley,116217,562,5377
CA,Beverly Hills,34780,77,1179
CA,Big Bear Lake,5144,56,215
CA,Biggs,1711,16,34
CA,Bishop,3861,28,108
CA,Blythe,20629,65,693
CA,Bradbury,1080,1,16
CA,Brawley,25753,61,1211
CA,Brea,40600,64,1210
CA,Brentwood,54301,89,1214
CA,Brisbane,4429,5,98
CA,Broadmoor,4301,14,55
CA,Buellton,4927,7,62
CA,Buena Park,82632,221,2165
CA,Burbank,104727,171,2430
CA,Burlingame,29936,37,665
CA,Calabasas,24114,20,313
CA,Calexico,39527,92,1474
CA,California City,13339,87,683
CA,Calimesa,8118,14,165
CA,Calistoga,5223,9,75
CA,Camarillo,66173,73,1130
CA,Campbell,40549,106,1563
CA,Canyon Lake,10944,3,157
CA,Capitola,10038,38,600
CA,Carlsbad,110505,221,2085
CA,Carmel,3833,9,105
CA,Carpinteria,13287,21,261
CA,Carson,93415,400,2251
CA,Cathedral City,53064,149,1118
CA,Central Marin,34105,41,695
CA,Ceres,45876,133,1720
CA,Cerritos,49816,82,1802
CA,Chico,88226,299,2572
CA,Chino,80704,258,2044
CA,Chino Hills,76943,63,1017
CA,Chowchilla,17696,81,452
CA,Chula Vista,255073,595,5284
CA,Citrus Heights,85337,320,2653
CA,City of Angels,3729,9,57
CA,Claremont,35623,37,894
CA,Clayton,11439,2,101
CA,Clearlake,14951,125,690
CA,Cloverdale,8718,5,158
CA,Clovis,99483,181,3404
CA,Coachella,43330,118,1372
CA,Coalinga,16398,131,485
CA,Colma,1481,5,273
CA,Colton,53403,161,1936
CA,Colusa,5957,10,138
CA,Commerce,12995,83,893
CA,Compton,97907,1242,2538
CA,Concord,125464,407,4357
CA,Corcoran,23290,71,364
CA,Corning,7631,47,300
CA,Corona,160159,162,3439
CA,Coronado,23183,11,555
CA,Costa Mesa,112538,252,3556
CA,Cotati,7388,35,79
CA,Covina,48524,138,1344
CA,Crescent City,7333,94,202
CA,Cudahy,24091,111,320
CA,Culver City,39452,161,1616
CA,Cupertino,60440,41,812
CA,Cypress,49067,50,934
CA,Daly City,104536,223,1833
CA,Dana Point,34262,70,586
CA,Danville,43411,17,413
CA,Davis,66126,103,1777
CA,Delano,52210,309,1949
CA,Del Mar,4290,16,179
CA,Del Rey Oaks,1673,5,39
CA,Desert Hot Springs,27936,277,1103
CA,Diamond Bar,56619,62,886
CA,Dinuba,23440,214,871
CA,Dixon,18743,35,411
CA,Dorris,910,1,17
CA,Dos Palos,5071,89,210
CA,Downey,113222,326,3292
CA,Duarte,21759,41,366
CA,Dublin,49789,70,739
CA,Dunsmuir,1589,4,34
CA,East Palo Alto,29086,347,597
CA,Eastvale,54882,63,1005
CA,El Cajon,102012,386,2730
CA,El Centro,43249,144,2039
CA,El Cerrito,24184,92,1120
CA,Elk Grove,160925,469,2963
CA,El Monte,115591,340,2182
CA,El Segundo,16911,37,538
CA,Emeryville,10415,132,1651
CA,Encinitas,61433,127,1081
CA,Escalon,7304,10,191
CA,Escondido,148650,596,3965
CA,Etna,721,1,3
CA,Eureka,26881,192,2087
CA,Exeter,10506,20,249
CA,Fairfax,7563,13,104
CA,Fairfield,108425,498,3534
CA,Farmersville,10786,47,258
CA,Ferndale,1364,4,26
CA,Fillmore,15206,26,152
CA,Firebaugh,8062,70,49
CA,Folsom,73782,98,1336
CA,Fontana,203427,725,4088
CA,Fort Bragg,7245,53,391
CA,Fort Jones,823,1,9
CA,Fortuna,11803,41,429
CA,Foster City,32652,15,305
CA,Fountain Valley,56805,92,1170
CA,Fowler,6038,37,166
CA,Fremont,224475,273,4097
